Year,StateAbbr,StateDesc,CountyName,CountyFIPS,LocationName,DataSource,Category,Measure,Data_Value_Unit,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,TotalPopulation,TotalPop18plus,Geolocation,LocationID,CategoryID,MeasureId,DataValueTypeID,Short_Question_Text
2023,VA,Virginia,Fairfax,51059,51059430901,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,24.6,,,20.6,28.9,"4,326","3,237",POINT (-77.2446555 38.7836547),51059430901,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,VA,Virginia,Fairfax,51059,51059450800,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,12.9,,,11.2,14.8,"3,483","2,781",POINT (-77.1942345 38.8411784),51059450800,HLTHOUT,DIABETES,CrdPrv,Diabetes
2023,VA,Virginia,Fairfax,51059,51059481105,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,2.9,,,2.1,3.9,"5,332","3,999",POINT (-77.3984538 38.9374167),51059481105,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2023,VA,Virginia,Fairfax,51059,51059432100,BRFSS,Health-Related Social Needs,Utility services shut-off threat in the past 12 months among adults,%,Crude prevalence,4.2,,,3.5,5.0,"3,573","2,762",POINT (-77.3069348 38.7883684),51059432100,SOCLNEED,SHUTUTILITY,CrdPrv,Utility Services Threat
2023,VA,Virginia,Fairfax,51059,51059460702,BRFSS,Health-Related Social Needs,Received food stamps in the past 12 months among adults,%,Crude prevalence,4.0,,,2.9,5.3,"4,649","3,346",POINT (-77.2632296 38.8926878),51059460702,SOCLNEED,FOODSTAMP,CrdPrv,Food Stamps
2023,VA,Virginia,Fairfax,51059,51059422102,BRFSS,Prevention,Taking medicine to control high blood pressure among adults with high blood pressure,%,Crude prevalence,73.2,,,69.9,76.3,"6,677","4,791",POINT (-77.218254 38.6906011),51059422102,PREVENT,BPMED,CrdPrv,High Blood Pressure Medication
2023,VA,Virginia,Fairfax,51059,51059491405,BRFSS,Health Status,Frequent mental distress among adults,%,Crude prevalence,11.1,,,9.6,12.9,"2,761","2,040",POINT (-77.4270519 38.8098819),51059491405,HLTHSTAT,MHLTH,CrdPrv,Frequent Mental Distress
2023,VA,Virginia,Fairfax,51059,51059440702,BRFSS,Health Outcomes,Obesity among adults,%,Crude prevalence,21.8,,,18.4,26.0,"5,397","4,045",POINT (-77.2443509 38.8208175),51059440702,HLTHOUT,OBESITY,CrdPrv,Obesity
2023,VA,Virginia,Fairfax,51059,51059452400,BRFSS,Health Status,Frequent physical distress among adults,%,Crude prevalence,11.4,,,10.0,13.0,"7,283","5,588",POINT (-77.1981593 38.8054579),51059452400,HLTHSTAT,PHLTH,CrdPrv,Frequent Physical Distress
2023,VA,Virginia,Fairfax,51059,51059461606,BRFSS,Health Outcomes,Diagnosed diabetes among adults,%,Crude prevalence,7.5,,,6.5,8.7,"3,069","2,441",POINT (-77.2240807 38.8803925),51059461606,HLTHOUT,DIABETES,CrdPrv,Diabetes
